Hour,Speed_at_2m,Speed_at_10m,Speed_at_50m,Speed_at_100m
8170,4.467994138,5.360308647,6.430829564,6.955425401
8171,4.779819747,5.677001,6.742584878,7.261079141
8172,4.557083603,5.377336979,6.345232062,6.814039576
8173,4.462981157,5.234567642,6.139550546,6.576024352
8174,4.4124803,5.158608437,6.030903073,6.450652701
8175,4.435310489,5.183176518,6.057145013,6.477578773
8176,4.480745331,5.238046646,6.123341239,6.549325256
8177,4.651452624,5.444041729,6.371684878,6.818418327
8178,4.990508061,5.906525612,6.990679983,7.516912398
8179,5.31569735,6.44863224,7.82302961,8.501820056
8180,5.198789376,6.461294174,8.030393113,8.818609666
8181,4.612120723,5.944584847,7.662004341,8.546965204
8182,4.293289479,5.657251835,7.454540039,8.395034976
8183,4.162052797,5.772930145,8.007280082,9.218904146
8184,4.336158335,5.892790318,8.008235642,9.139233851
8185,4.134728613,5.659265518,7.745922212,8.867066615
8186,3.85313299,5.326375008,7.362909818,8.46467418
8187,3.621702836,5.041408062,7.017636841,8.091943778
8188,3.391177233,4.753529549,6.663185559,7.706326248
8189,3.264293014,4.590116501,6.454435738,7.475036223
8190,3.145023888,4.447349072,6.288955019,7.301053339
8191,3.063353549,4.349121571,6.174559395,7.180535777
8192,3.013277445,4.300709248,6.13820014,7.154527993
8193,3.508366527,4.558279514,5.922389229,6.629230898
8194,4.374178116,5.265320301,6.338013024,6.864909118
8195,4.208488909,4.973042488,5.876492044,6.314521886
8196,3.742243263,4.367395401,5.096980942,5.447626378
8197,3.887073684,4.509143829,5.23076734,5.576114558
8198,4.132356193,4.786735535,5.544739129,5.907126008
8199,4.289964888,4.97992754,5.780858107,6.164344799
8200,4.437547127,5.165802956,6.013574484,6.420297207
8201,4.387086232,5.21919632,6.209134898,6.691383716
8202,4.771575771,5.645842075,6.680294784,7.182304753
8203,4.755787078,5.727574825,6.897935681,7.473010116
8204,4.511887005,5.572564602,6.882591743,7.537784432
8205,4.202499327,5.357888699,6.830928235,7.584205381
8206,3.866086732,4.964969158,6.376193926,7.101537025
8207,3.758444833,4.984025478,6.60925225,7.463477818
8208,3.585109884,4.97014904,6.890271786,7.931130918
8209,3.564515093,4.896222115,6.725456441,7.710723249
8210,3.245971938,4.535562992,6.337495224,7.319629686
8211,2.904645605,4.121652603,5.848568979,6.79990865
8212,2.482131602,3.625570774,5.295756046,6.234426083
8213,2.243612778,3.334814787,4.956733073,5.87929462
8214,2.179505409,3.249332428,4.844292279,5.753408905
8215,2.217192995,3.2998631,4.911208229,5.828582222
8216,2.261336533,3.371641398,5.027100366,5.97076089
8217,2.865351413,3.803982258,5.050089476,5.705561413
8218,4.337945792,5.21443367,6.268017122,6.785020251
8219,4.446313738,5.266101837,6.237038183,6.708546845
8220,4.417648029,5.191247463,6.100316288,6.539347757
8221,4.453575272,5.205398083,6.084138595,6.506918197
8222,4.446868105,5.18591404,6.047785495,6.461794043
8223,4.498949005,5.234395504,6.090065983,6.500418758
8224,4.806142659,5.607521057,6.542521651,6.991806656
8225,5.368428711,6.314502716,7.427302606,7.965083902
